name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,price_per_km,brand
Maruti 800 AC,2007.0,350000.0,70000.0,Petrol,Individual,Manual,First Owner,19.0,5.0,Maruti
Maruti Wagon R LXI Minor,2014.0,135000.0,50000.0,Petrol,Individual,Manual,First Owner,12.0,2.7,Maruti
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,14.0,6.0,Hyundai
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,9.0,5.434782608695652,Datsun
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,12.0,3.1914893617021276,Honda
Maruti Alto LX BSIII,2007.0,140000.0,60000.0,Petrol,Individual,Manual,First Owner,19.0,2.3333333333333335,Maruti
Unknown,2016.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,10.0,9.166666666666666,Unknown
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,12.0,4.0,Tata
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,11.0,34.0,Hyundai
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,9.0,4.67948717948718,Maruti
Unknown,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,11.0,7.428571428571429,Unknown
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,12.0,2.5,Tata
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,8.0,66.0,Toyota
Maruti Wagon R LXI Minor,2007.0,135000.0,60000.0,Petrol,Individual,Manual,First Owner,19.0,2.25,Maruti
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,19.0,1.12,Maruti
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,10.0,22.0,Hyundai
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,11.0,7.428571428571429,Chevrolet
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,11.0,24.375,Maruti
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,7.0,239.0,Hyundai
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,350000.0,33000.0,Diesel,Individual,Manual,Second Owner,13.0,10.606060606060606,Chevrolet
Unknown,2014.0,1964999.0,28000.0,Diesel,Individual,Automatic,First Owner,12.0,70.17853571428572,Unknown
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,13.0,24.152542372881356,Mercedes-Benz
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,8.0,216.66666666666666,Maruti
Unknown,2014.0,1190000.0,175900.0,Diesel,Dealer,Automatic,First Owner,12.0,6.7652075042637865,Unknown
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,8.0,64.13793103448276,Honda
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,60000.0,Petrol,Individual,Manual,First Owner,8.0,8.75,Tata
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,13.0,34.7,Audi
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,14.0,40.680473372781066,Mercedes-Benz
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,60000.0,Diesel,Dealer,Manual,Second Owner,15.0,7.5,Skoda
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,10.0,18.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,11.0,16.25,Toyota
Jeep Compass 1.4 Sport Plus BSIV,2014.0,1400000.0,10000.0,Petrol,Individual,Manual,First Owner,12.0,140.0,Jeep
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Manual,First Owner,16.0,7.142857142857143,Mercedes-Benz
Unknown,2014.0,229999.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,12.0,3.8333166666666667,Unknown
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,13.0,20.448548812664907,BMW
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,17.0,16.025641025641026,Audi
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesel,Individual,Manual,First Owner,14.0,15.625,Hyundai
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Diesel,Individual,Manual,First Owner,12.0,21.0,Mahindra
Honda City i DTEC V,2014.0,560000.0,74000.0,Diesel,Individual,Manual,Second Owner,12.0,7.5675675675675675,Honda
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,12.0,4.53125,Maruti
Maruti Wagon R VXI BS IV,2014.0,275000.0,60000.0,Petrol,Individual,Manual,First Owner,12.0,4.583333333333333,Maruti
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesel,Individual,Manual,Second Owner,17.0,3.425,Mahindra
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,17.0,1.8987341772151898,Hyundai
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,7.0,33.333333333333336,Hyundai
Maruti Alto LXi,2014.0,100000.0,80000.0,Petrol,Individual,Manual,First Owner,12.0,1.25,Maruti
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,9.0,39.189189189189186,Maruti
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,Individual,Manual,First Owner,8.0,39.31372549019608,Maruti
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,8.0,25.862068965517242,Hyundai
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,8.0,11.071428571428571,Maruti
Unknown,2016.0,665000.0,46000.0,Diesel,Individual,Manual,First Owner,10.0,14.456521739130435,Unknown
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,12.0,6.642857142857143,Hyundai
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,14.0,2.6666666666666665,Maruti
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,30.0,7.142857142857143,Mahindra
Honda City i DTEC VX,2014.0,675000.0,90000.0,Diesel,Dealer,Manual,First Owner,12.0,7.5,Honda
Maruti Wagon R VXI BS IV,2013.0,350000.0,80000.0,Petrol,Dealer,Manual,First Owner,13.0,4.375,Maruti
Tata Indica DLS,2005.0,70000.0,80000.0,Diesel,Individual,Manual,First Owner,21.0,0.875,Tata
Hyundai EON Magna Plus,2014.0,240000.0,60000.0,Petrol,Dealer,Manual,Second Owner,12.0,4.0,Hyundai
Toyota Etios GD,2014.0,525000.0,92000.0,Diesel,Dealer,Manual,First Owner,12.0,5.706521739130435,Toyota
Maruti Alto LXi,2009.0,151000.0,66764.0,Petrol,Dealer,Manual,Second Owner,17.0,2.2616979210352883,Maruti
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,17.0,1.4,Maruti
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Diesel,Individual,Manual,Second Owner,16.0,0.8,Chevrolet
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Diesel,Individual,Manual,First Owner,15.0,1.5217391304347827,Toyota
Mahindra Scorpio 1.99 S6 Plus,2014.0,570000.0,60000.0,Diesel,Individual,Manual,First Owner,12.0,9.5,Mahindra
Unknown,2018.0,300000.0,31000.0,Petrol,Individual,Manual,First Owner,8.0,9.67741935483871,Unknown
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,Petrol,Individual,Manual,First Owner,19.0,2.5641025641025643,Tata
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Diesel,Individual,Manual,Third Owner,17.0,4.166666666666667,Toyota
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesel,Individual,Manual,Fourth & Above Owner,12.0,0.7530120481927711,Tata
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,1.1818181818181819,Maruti
Ford EcoSport 1.5 Diesel Titanium BSIV,2014.0,925000.0,60000.0,Diesel,Individual,Manual,First Owner,12.0,15.416666666666666,Ford
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Diesel,Individual,Manual,First Owner,8.0,12.5,Maruti
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,Individual,Automatic,Second Owner,19.0,3.7037037037037037,Honda
Hyundai i10 Sportz 1.2,2010.0,350000.0,63000.0,Petrol,Individual,Manual,Second Owner,16.0,5.555555555555555,Hyundai
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,12.0,3.75,Skoda
